MISSING COMPONENT REFERENCES REPORT (BY SHEET)
Generated: 2026-01-21 17:02:16

WHAT TO FIX:
The following component names in your Excel sheets don't match any uploaded components.
Please check the spelling or make sure these components exist in the system.

====================================================================================================

SHEET: Excursions Package
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Row       | Row Name                                                    | Missing Component                                                            | Type            
756       | Martial Glacier Hike                                        | "Ushuaia Hotel to Activity H&T"                                              | transfer        
759       | Mount Susana Hike                                           | "Ushuaia Hotel to Activity H&T"                                              | transfer        
762       | Penguin Watching by Bus & Boat at Martillo Island           | "Ushuaia Hotel to Activity H&T"                                              | transfer        
765       | Sea Lions, Birds, Lighthouse and Martillo Island P          | "Ushuaia Hotel to Activity H&T"                                              | transfer        
768       | Tierra del Fuego National Park Birdwatching                 | "Ushuaia Hotel to Activity H&T"                                              | transfer        
779       | Tierra del Fuego National Park Trails Hike                  | "Ushuaia Hotel to Activity H&T"                                              | transfer        
782       | Tierra del Fuego National Park with Trekking & Can          | "Ushuaia Hotel to Activity H&T"                                              | transfer        
785       | Ushuaia Helicopter Overflights                              | "Ushuaia Hotel to Activity H&T"                                              | transfer        
788       | Monte Susana Horse Ride                                     | "Ushuaia Hotel to Activity H&T"                                              | transfer        
791       | Vinciguerra Glacier Valley Day Hike                         | "Ushuaia Hotel to Activity H&T"                                              | transfer        
815       | Baker River Rafting                                         | "Mallín Colorado to Puerto Bertrand Senderos Patagonia Aysén"                | transfer        
827       | Cerro Falkner Hike                                          | "Río Hermoso Lodge to Activity Andestrack"                                   | transfer        
831       | Córdoba Pass Biking                                         | "Río Hermoso Lodge to Activity Andestrack"                                   | transfer        
836       | Cerro Bellavista Hike                                       | "Bariloche to Activity Andestrack Guided"                                    | transfer        
844       | Cerro Goye Hike                                             | "Bariloche to Activity Andestrack Guided"                                    | transfer        
846       | Falkner Lake Biking                                         | "Río Hermoso Lodge to Activity Andestrack"                                   | transfer        
848       | Colonia Suiza Mountain Biking                               | "Bariloche to Activity Andestrack Guided"                                    | transfer        
858       | Iguazú Falls Tour (Brazilian side)                          | "Puerto Iguazu (IGR) to Activity H&T"                                        | transfer        
859       | Iguazú Falls Tour with Train Ride (Argentinian sid          | "Cataratas/Puerto Iguazú Hotel to Activity H&T"                              | transfer        
861       | Kayak on Lake Machónico                                     | "Río Hermoso Lodge to Activity Andestrack"                                   | transfer        
867       | Kayak on Lake Mascardi                                      | "Bariloche to Activity Andestrack Guided"                                    | transfer        
883       | Patagonia Park - Day Hike                                   | "Hotel Ultimo Paraiso to Altas Hike Senderos Patagonia Aysén"                | transfer        
884       | Patagonia Park - Day Hike (Tamango side)                    | "Hotel Ultimo Paraiso to Aviles Hike Senderos Patagonia Aysén"               | transfer        
890       | Nahuel Huapi Estancia Horse Riding                          | "Bariloche to Activity Andestrack Guided"                                    | transfer        
?         | unknown field                                               | "Activity to Aguas Arriba Lodge Aguas Arriba Lodge"                          | transfer        
